id,value,type
shiromuku bu2 bbs,0.0,1
hp access control,0.0,1
pivotal software rabbitmq management,0.0,1
hp tippingpoint security management system,0.0,1
hp storage data protector,0.0,1
synck graphica download log cgi,0.0,1
cisco spark,0.0,1
w1.fi hostapd,0.0,1
juniper srx100,0.0,1
zurmo zurmo crm,0.0,1
mindbite sitefactory cms,0.0,1
todo filter project todo filter,0.0,1
synology video station,0.0,1
microsoft windows xp,0.0,1
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'COMPLETE', 'PARTIAL')",7.5,0
adobe adobe air,0.0,1
adobe adobe air sdk,0.0,1
mediawiki scribunto,0.0,1
finder project finder,0.0,1
mover project mover,0.0,1
module-signature project module-signature,0.0,1
taxonomy accordion project taxonomy accordion,0.0,1
opentext secure mft 2014,0.0,1
citrix command center,0.0,1
libuv project libuv,0.0,1
redhat richfaces,0.0,1
cisco jabber,0.0,1
codfront labs http strict transport security,0.0,1
vmware horizon view client,0.0,1
ab google map travel project ab google map travel,0.0,1
gaia-gis freexl,0.0,1
palosanto elastix,0.0,1
google doc embedder google doc embedder,0.0,1
inline entity form project inline entity form,0.0,1
webgroupmedia cerb,0.0,1
"('NETWORK', 'LOW', 'MULTIPLE_INSTANCES', 'COMPLETE', 'COMPLETE')",8.3,0
"('NETWORK', 'LOW', 'MULTIPLE_INSTANCES', 'PARTIAL', 'PARTIAL')",5.8,0
sumome google analyticator,0.0,1
microsoft lync basic,0.0,1
auto-exchanger auto-exchanger,0.0,1
apache solr real-time project apache solr real-time,0.0,1
cisco asr 9001,0.0,1
cisco secure desktop,0.0,1
oracle vm server,0.0,1
ibm rational license key server,0.0,1
kde plasma-workspace,0.0,1
sympa sympa,0.0,1
sap netweaver abap,0.0,1
kde kde-workspace,0.0,1
job manager job manager,0.0,1
ibm tivoli storage fastback for microsoft exchange,0.0,1
realmd project realmd,0.0,1
chamilo integration project chamilo integration,0.0,1
