source,target,value
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",drupal drupal,4.3
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",drupal drupal,7.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",ibm security access manager for web 8.0 firmware,5.0
"('LOCAL', 'LOW', 'NONE', 'NONE', 'NONE')",xen xen,2.1
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",pligg pligg cms,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",microsoft windows,4.3
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",microsoft windows 10,7.2
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'NONE')",apple apple tv,7.1
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",reflex gallery project reflex gallery,7.5
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'NONE')",ceph ceph-deploy,2.1
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",owncloud owncloud,6.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",kogmbh webodf,4.3
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",apache camel,5.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",cisco unified meetingplace,5.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",cisco adaptive security appliance software,4.0
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",cisco anyconnect secure mobility client,7.2
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",cisco edge 340,7.2
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",cisco ons 15454 system software,5.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",cisco wireless lan controller software,5.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'COMPLETE')",cisco unified computing system director,9.4
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",cisco prime network control system,6.5
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",cisco ios xr software,7.8
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",zohocorp manageengine eventlog analyzer,7.5
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",ghozylab gallery - photo albums - portfolio,3.5
"('LOCAL', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",microsoft windows rt,6.9
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",microsoft windows 7,7.2
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",microsoft sharepoint server,6.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",cisco ios,7.8
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'NONE')",hp universal configuration management database,4.9
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",cisco application control engine 4700,4.3
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",wp smiley project wp smiley,3.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",actian matrix,6.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",microsoft windows vista,4.3
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",microsoft sharepoint foundation,3.5
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",microsoft sharepoint server,3.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'NONE')",cisco carrier routing system,7.1
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'NONE')",cisco unity connection,7.1
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",microsoft office,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",microsoft windows server 2012,5.8
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",apple xcode,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",basware banking,5.8
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",beasts vsftpd,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",inetc project inetc,4.3
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",freebsd freebsd,7.8
"('LOCAL', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",apple mac os x,1.9
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",canonical ubuntu linux,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",arubanetworks clearpass policy manager,4.3
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",arubanetworks arubaos,7.2
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",blubrry powerpress podcasting,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",banner effect header project banner effect header,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",geo mashup project geo mashup,4.3
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",privoxy privoxy,5.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",basware banking,6.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",igniterealtime openfire,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",igniterealtime openfire,4.3
"('LOCAL', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",libunwind project libunwind,3.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",kernel linux-pam,5.8
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",theforeman foreman,6.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",haxx libcurl,6.4
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",haxx libcurl,5.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",debian debian linux,4.0
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",drupal drupal,5.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",dream-multimedia-tv dreambox dm500-s,4.3
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",apphp hotel site,6.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",ntt-bp japan connected-free wi-fi,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",freebit elphonebtnv6 activex control,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",opendocman opendocman,4.3
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",basware banking,4.6
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",net-snmp net-snmp,7.5
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",wordpress wordpress,3.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",debian debian linux,4.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",fortinet forticlient,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",studio.gd gd infinite scroll,6.8
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",centreon centreon,6.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",centreon centreon,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",studio.gd gd infinite scroll,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",dotnetnuke dotnetnuke,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",plainblack webgui,4.3
"('LOCAL', 'HIGH', 'NONE', 'NONE', 'NONE')",apple iphone os,4.0
"('LOCAL', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",apple apple tv,1.9
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",d-link dir-645,0.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",mcafee mcafee agent,4.3
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",d-link dap-1320,0.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",sierra wireless sierra wireless aircard 763s,4.3
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",zhone technologies gpon 2520,7.8
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",jabberd2 jabberd2,6.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",libidn project libidn,7.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'NONE')",websense content gateway,4.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",garrettcom magnum 10k firmware,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",symphony-cms symphony cms,4.3
"('LOCAL', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",schneider-electric wonderware system platform 2014,6.9
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",xceedium xsuite,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",xceedium xsuite,4.3
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",tibco slingshot,4.0
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'NONE')",sinapsi esolar light,2.1
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",redcarpet project redcarpet,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",siemens compas,5.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'COMPLETE')",apple mac os x,8.8
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",cisco unified computing system,7.2
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",joomla joomla%21,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",mediawiki checkuser,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'NONE')",mediawiki mediawiki,7.1
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",apache sling servlets post,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",wotlab community gallery,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",ocf sxf common library,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",zenphoto zenphoto,4.3
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",adobe acrobat,5.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",adobe acrobat reader dc,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",jammer project jammer,6.8
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'COMPLETE', 'COMPLETE')",hp centralview fraud risk management,9.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",textangular textangular,4.3
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'COMPLETE', 'COMPLETE')",ibm security siteprotector system,9.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",ibm security siteprotector system,6.5
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",hp matrix operating environment,7.2
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",field display label project field display label,3.5
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",ibm security siteprotector system,3.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",ibm security siteprotector system,4.0
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",log watcher project log watcher,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",wftpserver wing ftp server,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",tadaa%21 project tadaa%21,6.8
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",wishlist project wishlist,3.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",citrix netscaler,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",citrix netscaler,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",batch jobs project batch jobs,6.8
"('LOCAL', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",debian debian linux,1.9
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",das watchdog project das watchdog,7.2
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",clutter project clutter,7.2
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",cisco firepower extensible operating system,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",apple quicktime,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",cisco webex meetings server,6.8
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",cisco prime collaboration,5.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",cisco videoscape policy resource manager,7.8
"('NETWORK', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",google android,9.3
"('NETWORK', 'HIGH', 'SINGLE_INSTANCE', 'COMPLETE', 'COMPLETE')",microsoft sql server,7.1
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",magnifica webscripts anima gallery,5.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",f5 big-ip wan optimization manager,4.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",ipsec-tools ipsec-tools,7.8
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",oracle siebel crm,3.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",oracle commerce platform,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",x2engine x2crm,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",cisco asyncos,4.3
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",ibm infosphere biginsights,6.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",ibm business process manager,4.0
"('NETWORK', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",ibm websphere application server,9.3
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",ibm websphere portal,5.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'NONE')",openstack image registry and delivery service %28glance%29,4.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",cisco telepresence video communication server,5.0
"('ADJACENT_NETWORK', 'MEDIUM', 'NONE', 'NONE', 'NONE')",cisco adaptive security appliance software,5.7
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",sun sunos,5.0
"('LOCAL', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'NONE')",oracle vm virtualbox,4.4
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",oracle database server,4.9
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",oracle database server,3.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",oracle fusion middleware,5.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",x2engine x2crm,7.5
"('ADJACENT_NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",apple iphone os,3.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",cisco adaptive security appliance software,4.3
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",apple xcode,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",mybb mybb,4.3
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",microsoft windows server 2008,7.8
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'COMPLETE', 'COMPLETE')",belkin n300 dual-band wi-fi range extender,9.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",apple mac os x,4.3
"('LOCAL', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",apple mac os x,4.4
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",apple mac os x,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",ibm tivoli directory server,4.3
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",ibm case manager,3.5
"('LOCAL', 'LOW', 'NONE', 'NONE', 'NONE')",oracle oracle and sun systems product suite,4.9
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",canonical ubuntu linux,6.5
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'NONE')",ibm websphere datapower xc10 appliance firmware,2.1
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",ibm tivoli directory server,4.3
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",ibm tivoli directory server,6.5
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",redhat slapi-nis,7.8
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",gnu gnutls,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",openssl openssl,4.3
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",xen xen,5.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",fork-cms fork cms,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",microsoft lync server,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",microsoft windows 10,9.3
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'NONE')",microsoft windows server 2012,4.0
"('LOCAL', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",microsoft windows 10,1.9
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",microsoft skype for business server,4.3
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",juniper junos,7.2
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",juniper junos,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",juniper srx5800,4.3
"('LOCAL', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",juniper srx5800,6.9
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",cisco headend digital broadband delivery system,6.8
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",cisco unified meetingplace,4.0
"('ADJACENT_NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",cisco wireless lan controller,6.1
"('LOCAL', 'LOW', 'SINGLE_INSTANCE', 'COMPLETE', 'COMPLETE')",cisco anyconnect secure mobility client,6.8
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",cisco finesse,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",cisco unified web and e-mail interaction manager,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",cisco telepresence video communication server,4.3
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",cisco ip phone 7861,7.8
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",cisco hosted collaboration solution,6.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",cisco unified computing system,4.3
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'NONE')",cisco ios xe,6.8
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",cisco webex meetings server,5.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",cisco unified communications domain manager,5.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",zohocorp manageengine password manager pro,6.5
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",youtube embed project youtube embed,3.5
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",ubuntu vivid,7.2
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",solarwinds firewall security manager,0.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",sap rfc library,7.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",fortinet single sign on,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",cisco ios xe,9.3
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",cisco web security virtual appliance,5.0
"('ADJACENT_NETWORK', 'MEDIUM', 'NONE', 'NONE', 'NONE')",cisco application visibility and control,5.7
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",s9y serendipity,3.5
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",cisco telepresence server on virtual machine,7.8
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",levelten interactive spotlight,3.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",milw0rm project milw0rm clone script,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",microsoft edge,4.3
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",webform prepopulate block project webform prepopulate block,3.5
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",cisco telepresence mcu 4500 series software,7.8
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'NONE')",cisco telepresence management suite,4.0
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",cisco hosted collaboration solution,4.3
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",libpng libpng,7.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",pearson proctorcache,5.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",openinfosecfoundation suricata,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",searchblox searchblox,6.8
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",network vision intravue,0.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",inductiveautomation ignition,4.3
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",scadaengine bacnet opc server,9.0
"('LOCAL', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",elipse e3,6.9
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",apple safari,4.3
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",apple itunes,7.8
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",magento magento,6.5
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",quick edit project quick edit,3.5
"('NETWORK', 'HIGH', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",search api autocomplete project search api autocomplete,2.1
"('NETWORK', 'HIGH', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",path breadcrumbs project path breadcrumbs,2.1
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",arubanetworks clearpass policy manager,6.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",web-dorado photo gallery,6.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",slimframework slim,7.5
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",entity api project entity api,3.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",web-dorado spider calendar,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",wp media cleaner project wp media cleaner,4.3
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",clamav clamav,5.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",wonderplugin audio player,6.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",beehive forum beehive forum,4.3
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",dokuwiki dokuwiki,6.5
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'NONE')",microsoft windows server 2003,2.1
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",artifex afpl ghostscript,6.8
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",apple itunes,7.5
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",google email,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",yuba u5cms,4.3
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",yuba u5cms,7.5
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",yuba u5cms,6.4
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",canonical ubuntu linux,4.6
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",yuba u5cms,5.8
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",elegant themes divi,5.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",adobe acrobat reader,7.8
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",adobe acrobat dc,7.5
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",apple safari,5.0
"('LOCAL', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",apple iphone os,6.9
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",magmi magmi,5.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",dlguard dlguard,7.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",apptha wordpress video gallery,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",dlguard dlguard,4.3
