source,target,value
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",webform project webform,3.5
"('LOCAL', 'LOW', 'NONE', 'NONE', 'COMPLETE')",zarafa zarafa collaboration platform,6.6
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",samsung samsung security manager,0.0
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",ubercart webform integration project ubercart webform integration,3.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",osscube custom sitemap,5.8
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",linux linux kernel,0.0
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",web-dorado web-dorado spider video player,4.9
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",web-dorado spider catalog,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'NONE')",cisco ios,7.1
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",cisco web security appliance,4.3
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",motorola motorola scanner sdk,7.2
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'NONE')",cisco ios xr,4.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",cisco webex meeting center,5.0
"('ADJACENT_NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",cisco nexus 7000,6.1
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",cisco unified communications domain manager,5.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",cisco ios xr,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",opac project opac,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",ubercart currency conversion project ubercart currency conversion,5.8
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",phplist integration project phplist integration,6.5
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",dlc solutions course,3.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",cloudwords cloudwords for multilingual,6.8
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",hp matrix operating environment,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",mit kerberos,5.8
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",wikiwiki project wikiwiki,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",openssl openssl,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'NONE')",openssl openssl,4.3
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",rubyonrails ruby on rails,5.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",pivotal software spring framework,5.0
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'NONE')",ibm websphere commerce,2.1
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",novell opensuse,7.8
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",openssl openssl,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",openssl openssl,4.3
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",openssl openssl,5.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",rack project rack,5.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",cisco ios xr,5.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",cisco unified communications manager im and presence service,6.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",cisco unified communications manager im and presence service,4.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",cisco unified presence server,4.3
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",cisco headend system release,7.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'NONE')",cisco unified ip phones 9900 series firmware,7.1
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",cisco nexus 9332pq,4.0
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",cisco wireless lan controller software,7.2
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'NONE')",openstack neutron,4.0
"('NETWORK', 'HIGH', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",thinkshout mailchimp,2.1
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",oracle fusion middleware,6.8
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",montala resourcespace,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",stunnel stunnel,5.8
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",openstack keystone,4.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",wppa.opajaap wp-photo-album-plus,4.3
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",emc vipr srm,6.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",emc vipr srm,5.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",emc documentum d2,4.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",emc watch4net,4.0
"('NETWORK', 'MEDIUM', 'MULTIPLE_INSTANCES', 'NONE', 'NONE')",oracle mysql,2.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",oracle commerce platform,4.3
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",emc vipr srm,3.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",emc unisphere central,5.8
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",websense triton,6.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",websense v-series appliances,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",mozilla firefox os,4.3
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'NONE')",emc captiva capture,2.1
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'COMPLETE', 'COMPLETE')",emc documentum d2,9.0
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",novell suse linux enterprise software development kit,0.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",mozilla firefox esr,4.3
"('ADJACENT_NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",w1.fi wpa supplicant,5.8
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",digia qt,6.8
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",clusterlabs pacemaker,7.5
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",powerdns authoritative,7.8
"('NETWORK', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",apple iphone os,9.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",freereprintables articlefr,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",jupyter notebook,6.8
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",visual mining netcharts server,0.0
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'NONE')",basware banking,2.1
